,name,date,rating,text
36,Jean Willard,2-Jan-23,4,my elderly mother likes these drinks. i know it wasn’t your fault but 2 cans were busted. i knew it when the box came shipped wet. thanks have a wonderful holiday.
37,R. W. Young,12-Oct-23,3,it is not a good replacement for my fave cherry coke zero. that is all.
38,P,10-May-23,5,my friends and family all disagree with me but i think that pepsi is so much better that it’s competitor (you know who). who doesn’t like a 24 pack. the more the merrier.
39,Sheila Clark,5-Apr-23,4,i love my pepsi zero sugar.
40,James,2-Jun-23,5,"the pepsi has a bubble fun factor, thanks to carbonation. when stored in the refrigerator, the cans can become chilled, and enhance the drinking experience."
41,M U Haque,12-Mar-23,4,it was tasty and value for money with the price.
42,Kristi Salvatierra,8-Aug-23,5,i love the taste.
43,Jaime,4-Oct-23,3,you can’t really taste the peach flavor. but the pineapple ones from little caesars are great.
44,G. A SENDEROFF,9-Dec-22,5,"i purchased this to try it, almost as a joke but me and my wife are definitely loving it. we have ordered 6 cases just in case they stop making this flavor, it is that good. if you like mango flavor, do not think twice, this item is ridiculously great even though it sounds like it does not go together - it really does!"
45,Margie H. Adams,16-Feb-23,4,one was no good. had seal broken and leaked.
46,Lars Asken,22-May-23,5,i drink pepsi zero almost every day and these mini's are just the right amount for a quick drink.
47,Lena Port,4-Aug-22,5,i'm not a pepsi drinker anymore it doesn't taste like you used to taste when i was coming up and now i drink coca-cola cuz it gives me that burp then i'm that i need that i can't get from pepsi 7up and sprite gives me a good burp but nothing like a coke can and when i can't find a coke i will drink a pepsi it's good but coke is better.
48,Elaine Banks,30-Dec-22,5,"i can’t get enough of this flavor! the mango is not overwhelming but just enough that it compliments the pepsi. i add some french vanilla coffee creamer and it’s absolutely delicious, like a soda float minus the thickness. i always have this soda stocked up in my fridge."
49,Sha,11-May-23,5,we bought these as a gift and they were very pleased to receive them.
50,Arlene Young,10-Mar-23,5,i’ve always loved pepsi! just the right amount of sweetness and it tastes good every time. i personally like warm sodas because to me they taste really shines through.
51,Kymberlyn A Reed (The Fountain Pen Diva),7-Oct-22,5,"while i've cut way down on my carbonated soda intake, mango pepsi is my favorite guilty (not guilty) pleasure. the mango flavor is just a party to my taste buds. i bought the 12 pack and may have to stock up because pepsi will stop making this - boo - instead of keeping a permanent flavor."
52,Jorge Urdaneta,16-Nov-22,5,this is great to control how much soda you're drinking. you don't really need to get the bigger can.also for mixing drinks is great because you have less possibility of leaving some content in the can between drinks. you will open a new can more often. less flat soda in your drinks.
53,Bebe Washington,14-Nov-22,4,we don’t drink much soda. but this purchase was a great choice. we were surprised by the very present mango flavor.
54,Jannine E Zerres,28-Dec-22,4,i want to reduce waste. perfect size.
55,Kellz,29-Dec-22,4,still the best cola to me.
56,John,26-Jan-22,5,"the best new flavor pepsi has made in years! but it’s so hard to find in the northeast. only the regular pepsi mango appears to be sold in stores. what is going on with the availability of p m zero? is it being discontinued or phased out for another flavor? whatever the case may be, get this pepsi mango zero while you still can! it’s a great soda with a unique and appealing flavor."
57,Mickey 55,21-Feb-23,5,sometimes you don't need to have a big can or bott;e to keep you satisfied. this does the trick at a great price.
58,sportyrider,5-Jul-22,5,cutting down on calories but craving a soft drink? this one's for you. i've been a pepsi lover for years but don't need the sugar and calories as i age. a couple times a week i have a small pepsi just to remind me of the good old days when we consumed the 12oz cans like water.
59,AlbericM,17-Jan-23,5,"while i'll always take pepsi over coke, their new flavors make the old standard more fun. mango seems to be a good match, and it's almost a regular buy now."
60,Kiwi,9-Jul-22,5,i have always loved pepsi and wanted to try the pepsi mango becuz it was made by pepsi.i must say that i was really surprised about the mango flavor! it is not overbearing as i thought it would be. i order this as often as i can along with regular pepsi.highly recommended.
61,AlohaJohn,25-May-14,5,"this is an incredible buy for urban amazonians and those of us in high cost-of-living areas. as cities and states try to tax soft drinks-many having failed because of the sugar and hfcs lobbies---we all need to start consuming less of this stuff. many have commented that the price per ounce is a ripoff. but you are missing the point. it's a 100 calorie can that is great for restricting all the sugar none of us needs. these little packs sell in hawaii for $3.99 or $4.99 and maybe on sale at 2 for $6 (matching this amazon price). but you have to also pay sales tax of 4.17% and beverage container recycling fee of 5 cents per can in hi. yeah, per ounce it's more, but i'm old enough to remember soda in bottles that were 6-1/2 ounces that grew to 10 oz. when brands were competing in the 60s-70s, and containers continued to grow---our collective waistlines along with them. so for me these are great, and i save on gas driving to the store because amazon delivers these right to my door. aloha and mahalo!!!"
62,EAMommy,15-Oct-22,5,"i wasn't sure if this product would be good but i was pleasantly surprised. i order it on a regular basis now. if you're a diet pepsi fan, this is a nice little change from the norm. and it tastes really good with rum!! highly recommend!"
63,P.retty B.oy T.actix,16-Mar-23,5,arrived at my door went straight to the fridge after i opened one mmmmm.
64,Lana,20-Mar-23,5,"if you ever will see at the any store, just grab it, very tasty!"
65,Darlene S,11-Jan-23,5,"yep, i've been a fan for years and years. i have no business drinking it but diet pepsi and pepsi zero both taste too sweet to me."
66,Willie V. Hughes,25-Jun-21,5,"pepsi max aka pepsi zero sugar cola is pepsi's best diet cola, hands down. diet pepsi tastes like sweet battery acid. diet coke tasks like bitter battery acid. but pepsi, zero sugar is actually pretty good, and passable as a regular cola. the caffeine content of pepsi, zero sugar is also the highest of any cola outside jolt, so that's a nice little kick of energy right there."
67,Deb M.,6-Nov-22,5,these compact cans are great as they take up little space in the fridge. also satisfies when you have a taste for pepsi. only complaint is that price has increased (along with everything else we buy.).
68,Christine Piff,22-Oct-22,5,i like the size of these cans. they are excellent for kids and people who don't drink alot of soda products. they were packaged well to ship them without any damage to the cans. i buy frequently and recommend purchasing them.
69,Maggie Razzi,26-Apr-23,5,great when in stock.
70,Cynthia Medina,9-Mar-22,4,"although the taste is never affected, the cans i have always ordered in the boxes have always been dirty and sticky. i am glad i have always washed the cans and also put in a separate cup."
71,Wayne summers,24-Apr-23,5,the media could not be loaded. always dented cans.
72,Hic Svnt Dracones,14-Jul-22,4,"this is the eclosest i have found to regular sugared pepsi, it isn't perfect though, still has an after taste that drives me nuts."
73,MauraLJ,12-Mar-22,5,"perfect to pack for small person snack or if you have small amounts of room. easy to monitor intake with kids because the size is great for the young ones. my local store wants almost a dollar more per pack, so this is where i buy mine."
74,TKT,27-Jul-21,5,"although it is extremely overpriced, i think it’s selling for $55 for a 15 pack of 12 oz cans…i will put a mango in my diet pepsi before paying that ludicrous amount. i’m sure it will be discontinued soon. do to what? lack of customers? anyone i talked to didn’t even know it existed, greedy sales persons? i love it but not for $55."
75,MK.,21-Sep-22,5,"my child and i drink these whenever we can order them, and they are tasty like happy juice. definitely a sometimes treat, but wow is the mango flavor strongly blended with the pepsi flavor."
76,Timothy Jackson,2-Jul-22,4,i like the fact that they come in a mixed assortment great for company and you never know what flavor you're going to get 😉.
77,Clay,21-Sep-22,4,"wish it was better priced, everything so expensive now."
78,DEBORAH TYLER,6-Jun-22,5,pepsi mango zero is awesome... yes mango is an acquired taste...not for everybody...just cause some of ya all don't like the flavor doesn't mean it's nasty...my family loves it and with zero sugar it's a win win in my household!!!
79,lplynn,19-Nov-22,5,i'll take pepsi over coke every time. 24 cans for under $12 is a great price.
80,Barbara Smith,8-Apr-22,5,love this flavor but unable to get it in zero sugar version in my location. was fast delivery. tried ordering this from other suppliers but only wasted my time. this one delivered the goods. arrived early and well packed so none was dented.
81,Joyce Aziz,13-Oct-21,5,i don’t know why i thought that the taste was not going to be artificial lol but kept on seeing it on tv and decided to try it. i feel like it taste even more sugary than regular pepsi. must be the added ingredients for the mango taste. it’s ok though and the kids love it.
82,Dennis Vanmeter,28-Mar-22,4,perfect lil size for those who don't want a full can not a bad deal at all for delivery i will buy again.
83,Theresa Gregory,15-Feb-23,5,gift surprise as this loved grandkids my.
84,Winnie M Peric,29-Sep-22,5,"my son daniel doesn't drink coffee, so he gets this, the size it just enough although he would love to have the cherry pepsi more!!!"
85,D.L.C.,25-Jun-22,5,"my family and i were surprised at how good and balanced the mango flavor was. for us there was no ""diet soda"" aftertaste. pretty sure we found our new favorite zero calorie soda."
86,Theodore R Stauffer,14-Jul-22,5,love this soda. hard to find in the local grocery at times. whole family loves it. wish it were a bit cheaper but all soda seems to be expensive these days.
87,NestT,7-Apr-21,4,"it was pretty much what i expected. the initial flavor is traditional pepsi cola then the ""splash of mango"" comes in the form of a mild aftertaste.i would have preferred two splashes but it is fine. ergo 4 stars not five. i will probably buy again but not on the regular."
88,Peggy Yadon,9-Apr-22,5,i just love the mango flavor. just the right amount of sweetness and i love having one in the evening a few hours after supper. zero calories but it makes me feel like i’m enjoying a dessert.
89,Vicki Hopkins,3-Jan-23,5,about 2 cans damaged like size less waste being small.
90,Arleata ,23-Aug-22,4,buy often.
91,Amazon Customer,24-May-22,4,mango is a bit strong but the pepsi taste is still there!
92,Poetic Chaos,21-Jul-22,4,it was pretty good to my surprise.
93,Placeholder,22-Feb-22,4,just regular pepsi...was good value...but now price jumped...not happy about it..happening to all items i consistently buy...wacked out algorithm!!
94,bernard brantley,13-Jun-21,4,"product was to high, now but in stores for 4.00 , love to have 20oz bottles but 35 dollars is to high, when they come down i’ll buy, pepsi 0 mango in 20 oz bottles,."
95,Kevin Bender,27-Mar-15,5,"don't believe the detractors. for some reason, the 12 oz. cans of pepsi just taste flat after drinking from the 7.5 oz. cans. there's also a bit of a calorie discrepancy, which would lead me to believe that the mix isn't quite the same between the two, as the number of calories in the 7.5 oz. cans is equal to the number of calories in 2/3 of the 12 oz. cans if the labels are accurate. either way, you're controlling your intake better by going with the smaller cans. it's to be expected that they're more expensive per ounce, but what food or drink isn't? note that there are eight cans per pack of 7.5 oz. cans as opposed to the six cans in the packs of 12 oz. cans."
96,Terry J Barnes,13-Sep-22,5,i like these little mini pepsi cans just the right size for me for a quick drink thanks terry j barnes.
97,Jason Thomas,12-Aug-23,5,"the sodastream® starry® beverage mix is a sparkling invitation to explore new flavors and elevate your hydration game. this beverage mix offers a playful twist to your ordinary refreshments, turning every sip into a sparkling adventure.the initial allure lies in the unique and imaginative flavors. sodastream has truly outdone themselves with the starry® lineup, offering combinations that range from fruity to exotic. whether you're a fan of classic flavors or looking to step out of your beverage comfort zone, there's something for everyone.the convenience of this beverage mix is undeniable. the process of creating your fizzy concoction is simple and satisfying. a few quick presses of the sodastream machine, and you're greeted with a burst of effervescence that transforms still water into a sparkling delight. the starry® mix dissolves seamlessly, creating a bubbly symphony that's just as enjoyable for the eyes as it is for the taste buds.i appreciate that sodastream is mindful of varying preferences when it comes to sweetness. the starry® beverage mix is available in different levels of sweetness, ensuring that you can customize your drink to match your taste. this flexibility caters to a wide range of palates, making the experience more personal.the starry® mix does deliver on flavor, but i found that some flavors were more intense than others. this could be a pro or a con depending on your preference. it's worth experimenting with the amount of mix you use to find your perfect balance of flavor intensity.the eco-conscious will be pleased to know that sodastream encourages a reduction in single-use plastic bottles by offering a reusable bottle alternative. by creating your own sparkling beverages at home, you're actively contributing to a more sustainable lifestyle.in summary, the sodastream® starry® beverage mix is a fun and inventive way to enhance your daily hydration routine. the variety of flavors, convenience of use, and eco-friendly approach make it a compelling choice for those seeking a unique sparkling experience. while the flavor intensity may vary, the ability to customize your drink's sweetness level ensures that there's something for everyone's taste buds.pros:- unique and imaginative flavor combinations- convenient process for creating sparkling drinks- customizable sweetness levels- encourages sustainability with reusable bottles- adds a playful twist to hydrationcons:- flavor intensity may vary."
98,Catherine,2-Apr-24,5,"the sodastream® pepsi® zero sugar beverage mix pack is a true delight for pepsi® enthusiasts. with its convenient 440ml size and pack of 6, it allows for enjoying your favorite beverage.the taste is impeccable, delivering the classic pepsi® flavor without any guilt thanks to the absence of sugar. each sip is refreshingly clean and satisfying, making it the perfect choice for quenching your thirst throughout the day.the pack offers the convenience of homemade pepsi®, which is an eco-friendly solution, reducing the need for single-use plastic bottles.overall, i highly recommend the sodastream® pepsi® zero sugar beverage mix pack to anyone looking for a convenient and delicious way to enjoy their favorite beverage."
99,Max,6-Apr-24,5,"had to try this and see if it tastes like store bought.i have a sodastream terra. i use filtered water as cold as i can get it without freezing.i like my water very fizzy. terra instructions say up to 5 pumps, i do 6.syrup instructions say to fill the cap up the middle line.tried this, i thought the flavor was a bit weak.the next time, i tried a full cap full. up to the line at the top of the cap.i thought this was very close to a store bought pepsi.i will be buying this again.same for starry. full cap instead of half. i will buy again."
100,Trey,6-Jan-24,4,"the sodastream pepsi zero sugar beverage mix offers a delightful way to enjoy your favorite pepsi flavor with the convenience and customization of sodastream. each pack contains four 14.9 fl oz bottles, allowing you to make liters of fizzy, refreshing pepsi zero sugar at home. this mix is perfect for those who are mindful about sugar intake but still crave the classic, robust taste of pepsi. the ease of use is impressive—simply carbonate your water with sodastream and add the pepsi zero sugar mix to create a perfect, personalized soda every time. this product is ideal for parties, family gatherings, or just for keeping your fridge stocked with a healthier soda alternative. the taste is authentic, the process is fun and easy, and the result is always deliciously satisfying. highly recommend for soda lovers looking for a convenient, sugar-free option!"
101,Ash Jade,31-Mar-24,5,"me and my sister bought this because we were spending a lot of money on soda for a family of 4. i came across this pack on amazon. everywhere else in the major stores that sell sodastream products cost way much more! this pack saved us a lot of money on soda and lasted us 3 months of making liters daily. i also recommend if you use your sodastream often, get a brita filter pitcher to save on water. the flavors are a greta choice for dark and clear soda lovers. i usually use half way of the measure cup with 4 pumps of c02 for optimum accuracy of authentic flavor. i will say it slightly taste like diet soda but all of the sodastream flavors taste like that unless you go online and buy the soda syrup they sell for machines you see in fast food restaurants. theones for soda stream with real sugar are really expensive i will say after research.overall, i reccommend this set to save money by stocking up or if you have a large family of soda lovers."
102,Holly Blackmon,11-Apr-24,5,love that i can have these at home and not be wasteful!! it is not being able to have a zero sugar soda without having to worry about buy them in a grocery order and taking up space. these taste just fine and were received in perfect condition.
103,Sterling M. Smith,5-Jun-23,1,"the first thing i noticed after mixing this according to the instructions was to grab the bottle and take a second look. i was certain i had ordered regular pepsi -- not diet pepsi.and, i was right, it didn't say ""diet pepsi"", yet why did it have that weird aftertaste like diet sweeteners that almost makes your eyeballs hurt?sure enough, after i looked at the ingredients, i found the culprit:sucralose -- why, why, why?i've been to restaurants and ordered a fountain pepsi that had the same flavor a few times. not all the time, but every once in a while, i get one where i have to send it back. you can usually tell by the amount of foamy/fizzy -- diet pepsi foams *much* less than regular, which causes it to look darker in the cup.my guess is that some cheaper formula syrup is marketed by pepsi for those places because it's just cheaper to produce with replacing some of the sugar with sucralose -- and i'm also guessing that just enough people don't notice it or care about the artificial taste that they can get away with it.depending on the specific drink or food, i might not notice it as much, but i can definitely taste it in pepsi -- because i know what to expect and getting that bitter-sweet smack in the face that i get from the sucralose makes it that much worse because i taste it with *every* sip, and cringe.i tried adding sugar and some light corn-syrup to mask the annoying sucralose taste, but it's still there -- so that didn't mask it.i had read that adding salt to coffee will reduce the bitterness -- and that does work for coffee.but the sucralose isn't so much a bitter taste as an acrid or ""false"" taste sensation that i can detect. because i had bought the 4-pack and didn't want to waste it, i tried adding all of these:torani cinnamon syruplemon juicecherry flavoringsalttorani salted caramel syrup - (the worst, btw).nothing worked to offset the taste.there aren't any other pepsi-brand options that are made for the smaller home soda-machines, unless you want to by a 3-gallon box of syrup for about $150 that is made for restaurants and way overpricedi'm almost tempted to buy it, but then what if it's the same nasty sucralose formula as this product? i'd be out $150 and have 3 gallons of syrup to dump.the bottle says ""special soda stream only formula"" -- which means ""we cut corners on this to save a few bucks and cut down on the shipping weight.""this is a terrible excuse for the regular pepsi formula. if you like diet pepsi, then this might work, but then you'd still have the sugar. if you don't have sensitive taste-buds, then maybe this would be okay for you.but if you don't like the nasty aftertaste of sucralose (splenda-brand-name), then stay away from this. there are others that might not be exactly pepsi, but pepsi-with-splenda is worse than any other cola that doesn't use artificial sweeteners.so, lesson learned. i'll be checking the ingredients when i buy pre-made syrups.don't get me wrong, i really like pepsi with sugar and even with the high-fructose-corn-syrup. i don't like diet pepsi -- even though i have friends who say, ""you get used to it."" -- buy why? why would i want to do that when the real stuff exists for the same price?overall, only one-star because zero-stars are not possible."
104,Public Profile Name,13-Apr-24,5,"these are delicious. i think they taste better than bottled diet pepsi. they use a different sweetener from aspartame so if your friends won't shut up about how bad aspartame supposedly is for you because you drink diet soda non-stop, these will help you cull your exposure."
105,S. Moon,10-Feb-24,4,"so i hate diet sodas because of the after taste. i can't even drink coke zero. when i first had this, i've only had it for two day, i did not like it. to get over the after taste i had diet coke, which i haven't had in a long time, and knowing how bad the after taste is on diet sodas makes this tolerable. doing the math the price i bought this at is less than 1/4 the cost of pepsi in the stores, it makes less waste, and i don't need to go to the store just to buy soda when i want to watch a movie.i don't make it like the directions, i add a little less syrup, i think that negates some of the after taste. i also don't use a soda stream to make it. i use fizzpod because i can put the flavor in before carbonating. i have a soda stream but the problem is when you add the syrup that takes away a ton of the fizz. if you put in the syrup before carbonating the carbonation is stronger. it also makes less of a mess. fizzpod machines have the part that goes into the soda as the lid so it can be thoroughly cleaned, don't try this on a soda stream or you need to take the whole thing apart to wash it.overall i think it is well worth it, it's cheaper, more convenient, at ton less waste, basically saving 4 two liter bottles and a one liter bottle. i'd give it 5 stars if it wasn't for the after taste. i'd say maybe it is the bottle of syrup i got but i also got some starry lemon lime and it has the same after taste so i don't think when i get to my next bottle of pepsi syrup it will be any different.i'd say if you have a soda stream or competitor carbonation machine it is worth a shot but i wouldn't go out and buy a machine just for this. most of what i drink is straight carbonated water, this is just a treat for me."
106,Cathy Johnson,8-Apr-24,5,i purchased a sodastream at my church's garage sale and tried to use it. i definitely did not like the taste of the drink flavors that came with it. then i went to my niece's house and they had the pepsi mix. i tried it and it was delicious! so i ordered some of my own and now make my own soft drink. will be ordering again when this supply runs out.
107,Jim Mellenberger,13-Mar-24,4,"i purchased an ultima cosa carbonating package a couple of months back, trying to cut my soda costs, and eliminate my aspartame intake as much as possible. i initially bought sodastream diet cola mix, which was pretty good, then tried this 4 pack of diet pepsi mix.4.5 stars, it has diet pepsi taste, maybe a little less carbonation than factory-made soda, but it works for me. i like the experience so far, so i expect i'll order more, maybe even subscribe after i get a baseline, which saves a few cents per bottle on orders.good product!"
108,grush,18-Apr-24,4,"tastes good, but very expensive for what you get."
109,Ed Tisoncik,9-Apr-24,4,"very close to original, much better than starry zero. pricing better than ome."
110,Amazon Customer,13-Mar-24,4,"they taste good but have a harder time staying carbonated compared to ones we bought at the grocery store. i have no clue why.if you mind your drinks being more ""flat"" than usual, then you'll be left wanting. i'm fine with it but my husband won't drink them."
111,Amanda Mattocks,11-Apr-24,5,i love making my diet pepsi at home and helping to reduce plastic waste. i get the best deal here on amazon too!
112,Steve,9-Apr-24,5,it's good i like it easy to make switched cuz grocery store no longer had four for $5 2 l.
113,TechnoGeek,22-Mar-24,4,slightly less flavor than you get in the companydirect sodas. i add a splash of cherry concentrateto give added zest.
114,Steven Bressler,27-Mar-24,4,only the taste is off a little bit worth buying. will but again.
115,Aloha 6,17-Mar-24,4,actually tastes like a pepsi zero. 1000x better than the generic sodastream stuff that tastes like the worst generic 99¢ store cola you could possibly find.
116,Joe Momma,17-Feb-24,4,i bought the soda stream when i saw this available. it lists sugar as the main ingredient but it tastes a lot like artificial sweetener and a little flat regardless of the amount of bubbles. i tried the grape and lemon lime that came with it and they taste like the flavored water you purchase. i tried it with real grape juice and it's pretty good. disappointed with the pepsi flavor.
117,CRockstead,18-Apr-24,5,great deal!
118,kdj,26-Feb-24,4,others said it was just like diet pepsi i think it had that soda srteam flavor not bad but it stands a lone. if you're like my wife and drink only diet pepsi it won't work. if you're open to a little twist on the flavor it's ok.
119,rael salas,5-Apr-24,5,"good taste, as long as u use cold water. definitively would buy it again."
120,Charles Tiffany,10-Apr-24,5,it’s just like 7up.
121,Texasowl,28-Mar-24,5,taste almost as the factory made. read the instructions on the side of the syrup bottle.
122,Erica ,23-Feb-24,5,"i don't have a soda stream, i have something similar from another company (sparkle) but they don't sell soda syrups. i purchased these, hoping it would taste like fountain diet pepsi and it does! i much prefer the taste of fountain drinks to canned or bottled. these are simple to use and it's easy to measure the correct amount since it has a 'fill line' in the cap. it lasts a decent amount of time, calculating the cost of everything it comes out cheaper than purchasing bottled soda and tastes better too."
123,H.Woody,9-Apr-24,5,pricy.
124,Amazon Customer,6-Apr-24,5,product has a good cola taste.
125,Amazon Customer,28-Feb-24,4,"without the artificial flavor. if you squeeze a little fresh lemon in it, it's soooo good.it would be nice to offer a variety pack with different flavors."
126,Sean,28-Feb-24,4,taste more like rc cola than pepsi but it’s good especially for the price and ability to make it the way o want to.
127,tfmd,23-Mar-24,5,"looks, like and tastes like diet pepsi. that's what i expected so what more can i say?"
