name,date,rating,text
Meglet,23-Apr-22,5,"I love mango but did NOT expect this to taste good at all, let alone be my new favorite. It is VERY mango-y. I am trying to drink much less soda, so I certainly discovered this at the wrong time for that!Unfortunately, or fortunately, depending on how I see it, it is very hard to find. So, I’m stocking up a bit at a time, because that’s all I ever come across. I will not buy the really expensive listing, though. Not unless I come to real desperation. Soda should not be a monetary splurge as well as a dietary one. (Well, maybe it should, if it limits intake of something so patently unhealthy as it is yummy!)That’s the risk of liking something unusual like this - and I don’t know if this is limited edition or just less stocked - but if you love it, you’re then stuck chasing more, or eventually having to just enjoy it in sweet memory. And it is very sweet, but Pepsi already is a very sweet cola, so I don’t mind it. With the choice between Regular Pepsi and Mango Pepsi, I’d go for Mango every time, and going back to Regular will be strange. So, again, perhaps it’s an altogether good thing I’m drinking soda less and less!"
Kimberly Greenlaw,20-Dec-23,5,Good value
Rheann Y,6-Dec-23,5,It's Pepsi what's there to say
dennis,10-Apr-23,5,My brother and sister said they didn't like it.Well my sister actually tried it.my brother just said it sounded gross.Heck I mixed dr pepper cream soda with the mango Pepsi and heck I didn't even think that sounded gross by any means yet it definitely sounds more gross then mango Pepsi.I truthfully think I found the pepsi I prefer and it would be the new mango Pepsi.Whats odd is that I tried mango Pepsi in a can and also the plastic bottle and I normally prefer the plastic bottles cause it usually has a better fizz to the soda in the 16.9 plastic bottle but with the mango Pepsi I truthfully prefer the cans.kind of odd but yes I actually think the mango Pepsi is pretty darn good
Trashman,8-Nov-23,5,Everyone in my family like Pepsi 0.There are four diabetics in our house and Pepsi 0 is our first choice.
PD-68,11-Sep-23,5,One good thing about drinking from the mini cans is controlling the intake of soda. Pepsi mini cans are also a lot cheaper than mini plastic bottles and better for recycling. It still has the same Pepsi taste and the size cold help you stash more in a small ice chest.
Ruperta,3-Dec-23,5,Very satisfy
no name should be private,4-Nov-23,5,Tastes better than the ones with sugar .... sugar is bad for humans!
Mr. Campbell,13-Jul-22,4,"It’s soda.. people know what Pepsi is and really don’t need a review for Pepsi. But for price and amount of cans is fine I guess. America is corrupt anyway. 24 ounce of Pepsi costs more than a 2 liter of Pepsi of the same flavor. So spend less to drink more soda? Or get a case and try to have more self control with each can. If your teeth get messed up from drinking soda just remember Pepsi doesn’t care !! They got your money and that’s all that matters to them.If you do want to choose to drink soda, space it out and think of it as a treat. Not a everyday drink!! Soda shouldn’t be consumed more than twice a week at the most! You only get one body, treat it well! Kidney stones and more is something you don’t want later on in life!! Be smart and respect the body you were assigned to!!"
Jessica McMullen,9-Nov-23,5,Great zero sugar soda.
Amazon Customer,18-Sep-23,5,"I wish more care was taken so cans won't arrive damaged, but am glad they arrive in a timely manner."
Texas Family,18-Oct-23,5,Never a disappointment!
Bobbie B.,17-Oct-23,5,No dislikes 
Melody Johnson,18-Sep-23,5,Arrived fast and day early-- love when that happens.
LynnZ.,3-Aug-23,5,I really like these new Zero Sugar sodas as opposed to the former “diet” sodas. These are cleaner tasting and don’t leave any off-taste after drinking.
Amazon customer ,31-Jul-23,5,Love these cans cold from the fridge! They are great when I get a chance to try them! Will definitely purchase them again!
KA LaMesa,22-Jul-23,5,loved the more compact packaging - Can you put the whole box in the refrigerator that uses horizontal and vertical space better than the longer narrow boxes
Tristan Robinson,19-May-23,4,"It was delicious, but man I wish these came in bigger sizes"
Eric ,25-Aug-23,5,If you don’t know what Cherry Pepsi is I can’t help you
max garcia,22-Sep-23,5,mmmmmm pepsi
JR,27-Jul-23,5,No early expiration date and tastes exactly like Pepsi should. No big surprise
Jean Willard,2-Jan-23,4,My elderly mother likes these drinks. I know it wasn’t your fault but 2 cans were busted. I knew it when the box came shipped wet. Thanks Have a wonderful holiday
R. W. Young,12-Oct-23,3,It is not a good replacement for my fave Cherry Coke Zero. That is all.
P,10-May-23,5,My friends and family all disagree with me but I think that Pepsi is so much better that it’s competitor (you know who). Who doesn’t like a 24 pack. The more the merrier.
Sheila Clark,5-Apr-23,4,I love my Pepsi zero sugar.
James,2-Jun-23,5,"The Pepsi has a bubble fun factor, thanks to carbonation. When stored in the refrigerator, the cans can become chilled, and enhance the drinking experience."
M U Haque,12-Mar-23,4,It was tasty and value for money with the price
Kristi Salvatierra,8-Aug-23,5,I love the taste
Jaime,4-Oct-23,3,You can’t really taste the peach flavor. But the pineapple ones from Little Caesars are great.
G. A SENDEROFF,9-Dec-22,5,"I purchased this to try it, almost as a joke but me and my wife are definitely loving it. We have ordered 6 cases just in case they stop making this flavor, it is that good. If you like mango flavor, do not think twice, this item is ridiculously great even though it sounds like it does not go together - it really does!"
Margie H. Adams,16-Feb-23,4,One was no good. Had seal broken and leaked.
Lars Asken,22-May-23,5,I drink Pepsi Zero almost every day and these mini's are just the right amount for a quick drink
Lena Port,4-Aug-22,5,I'm not a Pepsi drinker anymore it doesn't taste like you used to taste when I was coming up and now I drink Coca-Cola cuz it gives me that burp then I'm that I need that I can't get from Pepsi 7UP and Sprite gives me a good burp but nothing like a Coke can and when I can't find a Coke I will drink a Pepsi it's good but Coke is better
Elaine Banks,30-Dec-22,5,"I can’t get enough of this flavor! The mango is not overwhelming but just enough that it compliments the Pepsi. I add some French vanilla coffee creamer and it’s absolutely delicious, like a soda float minus the thickness. I ALWAYS have this soda stocked up in my fridge."
Sha,11-May-23,5,We bought these as a gift and they were very pleased to receive them.
Arlene Young,10-Mar-23,5,I’ve always loved Pepsi! Just the right amount of sweetness and it tastes good every time. I personally like warm sodas because to me they taste really shines through
Kymberlyn A Reed (The Fountain Pen Diva),7-Oct-22,5,"While I've cut way down on my carbonated soda intake, Mango Pepsi is my favorite guilty (not guilty) pleasure. The mango flavor is just a party to my taste buds. I bought the 12 pack and may have to stock up because Pepsi will stop making this - Boo - instead of keeping a permanent flavor."
Jorge Urdaneta,16-Nov-22,5,This is great to control how much soda you're drinking. You don't really need to get the bigger can.Also for mixing drinks is great because you have less possibility of leaving some content in the can between drinks. You will open a new can more often. Less flat soda in your drinks.
Bebe Washington,14-Nov-22,4,We don’t drink much soda. But this purchase was a great choice. We were surprised by the very present mango flavor.
Jannine E Zerres,28-Dec-22,4,I want to reduce waste. Perfect size
Kellz,29-Dec-22,4,Still the best cola to me
John,26-Jan-22,5,"The best new flavor Pepsi has made in years! But it’s so hard to find in the Northeast. Only the regular Pepsi mango appears to be sold in stores. What is going on with the availability of P M Zero? Is it being discontinued or phased out for another flavor? Whatever the case may be, get this Pepsi mango zero while you still can! It’s a great soda with a unique and appealing flavor."
Mickey 55,21-Feb-23,5,Sometimes You don't need to have a big can or bott;e to keep you satisfied. This does the trick at a great price.
sportyrider,5-Jul-22,5,Cutting down on calories but craving a soft drink? This one's for you. I've been a PEPSI lover for years but don't need the sugar and calories as I age. A couple times a week I have a small Pepsi just to remind me of the good old days when we consumed the 12oz cans like water.
AlbericM,17-Jan-23,5,"While I'll always take Pepsi over Coke, their new flavors make the old standard more fun. Mango seems to be a good match, and it's almost a regular buy now."
Kiwi,9-Jul-22,5,I have always loved Pepsi and wanted to try the Pepsi Mango becuz it was made by Pepsi.I must say that I was really surprised about the mango flavor! It is not overbearing as I thought it would be. I order this as often as I can along with regular Pepsi.Highly recommended.
AlohaJohn,25-May-14,5,"This is an incredible buy for urban Amazonians and those of us in high cost-of-living areas. As cities and states try to tax soft drinks-many having failed because of the Sugar and HFCS lobbies---we all need to start consuming less of this stuff. Many have commented that the price per ounce is a ripoff. But you are missing the point. It's a 100 calorie can that is great for restricting all the sugar none of us needs. These little packs sell in Hawaii for $3.99 or $4.99 and maybe on Sale at 2 for $6 (Matching this Amazon Price). But you have to also pay sales tax of 4.17% and Beverage Container Recycling fee of 5 cents per can in HI. Yeah, per ounce it's more, but I'm old enough to remember Soda in Bottles that were 6-1/2 ounces that grew to 10 oz. when brands were competing in the 60s-70s, and containers continued to grow---our collective waistlines along with them. So for me these are great, and I save on gas driving to the store because Amazon delivers these right to my door. Aloha and Mahalo!!!"
EAMommy,15-Oct-22,5,"I wasn't sure if this product would be good but I was pleasantly surprised. I order it on a regular basis now. If you're a diet pepsi fan, this is a nice little change from the norm. And it tastes REALLY good with rum!! HIGHLY RECOMMEND!"
P.retty B.oy T.actix,16-Mar-23,5,ARRIVED AT MY DOOR WENT STRAIGHT TO THE FRIDGE AFTER I OPENED ONE mmmmm
Lana,20-Mar-23,5,"If you ever will see at the any store, just grab it, very tasty!"
Darlene S,11-Jan-23,5,"Yep, I've been a fan for years and years. I have no business drinking it but diet pepsi and Pepsi Zero both taste too sweet to me."
Willie V. Hughes,25-Jun-21,5,"Pepsi Max aka Pepsi Zero Sugar Cola is Pepsi's best diet cola, hands down. Diet Pepsi tastes like sweet battery acid. Diet Coke tasks like bitter battery acid. But Pepsi, Zero Sugar is actually pretty good, and passable as a regular cola. The caffeine content of Pepsi, Zero Sugar is also the highest of any cola outside Jolt, so that's a nice little kick of energy right there."
Deb M.,6-Nov-22,5,These compact cans are great as they take up little space in the fridge. Also satisfies when you have a taste for Pepsi. Only complaint is that price has increased (along with everything else we buy.)
Christine Piff,22-Oct-22,5,I like the size of these cans. They are excellent for kids and people who don't drink alot of soda products. They were packaged well to ship them without any damage to the cans. I buy frequently and recommend purchasing them.
Maggie Razzi,26-Apr-23,5,Great when in stock
Cynthia Medina,9-Mar-22,4,"Although the taste is never affected, the cans I have always ordered in the boxes have always been dirty and sticky. I am glad I have always washed the cans and also put in a separate cup."
Wayne summers,24-Apr-23,5,The media could not be loaded. Always dented cans
Hic Svnt Dracones,14-Jul-22,4,"This is the eclosest I have found to regular sugared pepsi, it isn't perfect though, still has an after taste that drives me nuts."
MauraLJ,12-Mar-22,5,"Perfect to pack for small person snack or if you have small amounts of room. Easy to monitor intake with kids because the size is great for the young ones. My local store wants almost a dollar more per pack, so this is where I buy mine."
TKT,27-Jul-21,5,"Although it is extremely overpriced, I think it’s selling for $55 for a 15 pack of 12 oz cans…I will put a mango in my Diet Pepsi before paying that ludicrous amount. I’m sure it will be discontinued soon. Do to what? Lack of customers? Anyone I talked to didn’t even know it existed, greedy sales persons? I love it but not for $55"
MK.,21-Sep-22,5,"My child and I drink these whenever we can order them, and they are tasty like happy juice. Definitely a sometimes treat, but wow is the mango flavor strongly blended with the Pepsi flavor."
Timothy Jackson,2-Jul-22,4,I like the fact that they come in a mixed assortment great for company and you never know what flavor you're going to get 😉
Clay,21-Sep-22,4,"Wish it was better priced, everything so expensive now"
DEBORAH TYLER,6-Jun-22,5,Pepsi mango zero is awesome... yes mango is an acquired taste...not for everybody...just cause some of ya all don't like the flavor doesn't mean it's nasty...my family loves it and with zero sugar it's a win win in my household!!!
lplynn,19-Nov-22,5,I'll take Pepsi over Coke every time. 24 cans for under $12 is a great price.
Barbara Smith,8-Apr-22,5,Love this flavor but unable to get it in zero sugar version in my location. Was fast delivery. Tried ordering this from other suppliers but only wasted my time. This one delivered the goods. Arrived early and well packed so none was dented.
Joyce Aziz,13-Oct-21,5,I don’t know why I thought that the taste was not going to be artificial lol but kept on seeing it on tv and decided to try it. I feel like it taste even more sugary than regular Pepsi. Must be the added ingredients for the mango taste. It’s ok though and the kids love it
Dennis Vanmeter,28-Mar-22,4,Perfect Lil size for those who don't want a full can not a bad deal at all for delivery I will buy again
Theresa Gregory,15-Feb-23,5,gift SURPRISE as this loved Grandkids My
Winnie M Peric,29-Sep-22,5,"My Son Daniel doesn't drink coffee, so he gets this, the size it just Enough Although he would LOVE to have the Cherry Pepsi more!!!"
D.L.C.,25-Jun-22,5,"My family and I were surprised at how good and balanced the mango flavor was. For us there was no ""diet soda"" aftertaste. Pretty sure we found our new favorite zero calorie soda."
Theodore R Stauffer,14-Jul-22,5,Love this soda. Hard to find in the local grocery at times. Whole family loves it. Wish it were a bit cheaper but all soda seems to be expensive these days.
NestT,7-Apr-21,4,"It was pretty much what I expected. The initial flavor is traditional Pepsi cola then the ""splash of mango"" comes in the form of a mild aftertaste.I would have preferred two splashes but it is fine. Ergo 4 stars not five. I will probably buy again but not on the regular."
Peggy Yadon,9-Apr-22,5,I just love the mango flavor. Just the right amount of sweetness and I love having one in the evening a few hours after supper. Zero calories but it makes me feel like I’m enjoying a dessert.
Vicki Hopkins,3-Jan-23,5,About 2 cans damaged like size less waste being small.
Arleata ,23-Aug-22,4,Buy often
Amazon Customer,24-May-22,4,Mango is a bit strong but the Pepsi taste is still there!
Poetic Chaos,21-Jul-22,4,It was pretty good to my surprise.
Placeholder,22-Feb-22,4,Just regular Pepsi...was good value...but now Price Jumped...not happy about it..happening to all items I consistently buy...wacked out algorithm!!
bernard brantley,13-Jun-21,4,"Product was to high, now but in stores for 4.00 , love to have 20oz bottles but 35 dollars is to high, when they come down I’ll buy, Pepsi 0 mango in 20 oz bottles,"
Kevin Bender,27-Mar-15,5,"Don't believe the detractors. For some reason, the 12 oz. cans of Pepsi just taste flat after drinking from the 7.5 oz. cans. There's also a bit of a calorie discrepancy, which would lead me to believe that the mix isn't quite the same between the two, as the number of calories in the 7.5 oz. cans is equal to the number of calories in 2/3 of the 12 oz. cans if the labels are accurate. Either way, you're controlling your intake better by going with the smaller cans. It's to be expected that they're more expensive per ounce, but what food or drink isn't? Note that there are eight cans per pack of 7.5 oz. cans as opposed to the six cans in the packs of 12 oz. cans."
Terry J Barnes,13-Sep-22,5,I like these little Mini Pepsi cans just the right size for me for a quick drink thanks Terry J Barnes
Jason Thomas,12-Aug-23,5,"The SodaStream® Starry® Beverage Mix is a sparkling invitation to explore new flavors and elevate your hydration game. This beverage mix offers a playful twist to your ordinary refreshments, turning every sip into a sparkling adventure.The initial allure lies in the unique and imaginative flavors. SodaStream has truly outdone themselves with the Starry® lineup, offering combinations that range from fruity to exotic. Whether you're a fan of classic flavors or looking to step out of your beverage comfort zone, there's something for everyone.The convenience of this beverage mix is undeniable. The process of creating your fizzy concoction is simple and satisfying. A few quick presses of the SodaStream machine, and you're greeted with a burst of effervescence that transforms still water into a sparkling delight. The Starry® mix dissolves seamlessly, creating a bubbly symphony that's just as enjoyable for the eyes as it is for the taste buds.I appreciate that SodaStream is mindful of varying preferences when it comes to sweetness. The Starry® Beverage Mix is available in different levels of sweetness, ensuring that you can customize your drink to match your taste. This flexibility caters to a wide range of palates, making the experience more personal.The Starry® mix does deliver on flavor, but I found that some flavors were more intense than others. This could be a pro or a con depending on your preference. It's worth experimenting with the amount of mix you use to find your perfect balance of flavor intensity.The eco-conscious will be pleased to know that SodaStream encourages a reduction in single-use plastic bottles by offering a reusable bottle alternative. By creating your own sparkling beverages at home, you're actively contributing to a more sustainable lifestyle.In summary, the SodaStream® Starry® Beverage Mix is a fun and inventive way to enhance your daily hydration routine. The variety of flavors, convenience of use, and eco-friendly approach make it a compelling choice for those seeking a unique sparkling experience. While the flavor intensity may vary, the ability to customize your drink's sweetness level ensures that there's something for everyone's taste buds.Pros:- Unique and imaginative flavor combinations- Convenient process for creating sparkling drinks- Customizable sweetness levels- Encourages sustainability with reusable bottles- Adds a playful twist to hydrationCons:- Flavor intensity may vary"
Catherine,2-Apr-24,5,"The SodaStream® Pepsi® Zero Sugar Beverage Mix pack is a true delight for Pepsi® enthusiasts. With its convenient 440ml size and pack of 6, it allows for enjoying your favorite beverage.The taste is impeccable, delivering the classic Pepsi® flavor without any guilt thanks to the absence of sugar. Each sip is refreshingly clean and satisfying, making it the perfect choice for quenching your thirst throughout the day.The pack offers the convenience of homemade Pepsi®, which is an eco-friendly solution, reducing the need for single-use plastic bottles.Overall, I highly recommend the SodaStream® Pepsi® Zero Sugar Beverage Mix pack to anyone looking for a convenient and delicious way to enjoy their favorite beverage."
Max,6-Apr-24,5,"Had to try this and see if it tastes like store bought.I have a sodastream terra. I use filtered water as cold as I can get it without freezing.I like my water very fizzy. Terra instructions say up to 5 pumps, I do 6.Syrup instructions say to fill the cap up the middle line.Tried this, I thought the flavor was a bit weak.The next time, I tried a full cap full. Up to the line at the top of the cap.I thought this was very close to a store bought pepsi.I will be buying this again.Same for Starry. Full cap instead of half. I will buy again"
Trey,6-Jan-24,4,"The SodaStream Pepsi Zero Sugar Beverage Mix offers a delightful way to enjoy your favorite Pepsi flavor with the convenience and customization of SodaStream. Each pack contains four 14.9 Fl Oz bottles, allowing you to make liters of fizzy, refreshing Pepsi Zero Sugar at home. This mix is perfect for those who are mindful about sugar intake but still crave the classic, robust taste of Pepsi. The ease of use is impressive—simply carbonate your water with SodaStream and add the Pepsi Zero Sugar mix to create a perfect, personalized soda every time. This product is ideal for parties, family gatherings, or just for keeping your fridge stocked with a healthier soda alternative. The taste is authentic, the process is fun and easy, and the result is always deliciously satisfying. Highly recommend for soda lovers looking for a convenient, sugar-free option!"
Ash Jade,31-Mar-24,5,"Me and my sister bought this because we were spending a lot of money on soda for a family of 4. I came across this pack on Amazon. Everywhere else in the major stores that sell Sodastream products cost way much more! This pack saved us a lot of money on soda and lasted us 3 months of making liters daily. I also recommend if you use your Sodastream often, get a Brita filter pitcher to save on water. The flavors are a greta choice for dark and clear soda lovers. I usually use half way of the measure cup with 4 pumps of C02 for optimum accuracy of authentic flavor. I will say it slightly taste like diet soda but all of the Sodastream flavors taste like that unless you go online and buy the soda syrup they sell for machines you see in fast food restaurants. Theones for soda stream with real sugar are really expensive I will say after research.Overall, I reccommend this set to save money by stocking up or if you have a large family of soda lovers."
Holly Blackmon,11-Apr-24,5,Love that I can have these at home and not be wasteful!! It is not being able to have a zero sugar soda without having to worry about buy them in a grocery order and taking up space. These taste just fine and were received in perfect condition.
Sterling M. Smith,5-Jun-23,1,"The first thing I noticed after mixing this according to the instructions was to grab the bottle and take a second look. I was certain I had ordered regular Pepsi -- Not Diet Pepsi.And, I was right, it didn't say ""Diet Pepsi"", yet why did it have that weird aftertaste like diet sweeteners that almost makes your eyeballs hurt?Sure enough, after I looked at the ingredients, I found the culprit:SUCRALOSE -- why, why, why?I've been to restaurants and ordered a fountain Pepsi that had the same flavor a few times. Not all the time, but every once in a while, I get one where I have to send it back. You can usually tell by the amount of foamy/fizzy -- Diet Pepsi foams *much* less than regular, which causes it to look darker in the cup.My guess is that some cheaper formula syrup is marketed by Pepsi for those places because it's just cheaper to produce with replacing some of the sugar with Sucralose -- and I'm also guessing that just enough people don't notice it or care about the artificial taste that they can get away with it.Depending on the specific drink or food, I might not notice it as much, but I can definitely taste it in Pepsi -- because I know what to expect and getting that bitter-sweet smack in the face that I get from the Sucralose makes it that much worse because I taste it with *every* sip, and cringe.I tried adding sugar and some light corn-syrup to mask the annoying Sucralose taste, but it's still there -- so that didn't mask it.I had read that adding salt to coffee will reduce the bitterness -- and that does work for coffee.But the Sucralose isn't so much a bitter taste as an acrid or ""false"" taste sensation that I can detect. Because I had bought the 4-pack and didn't want to waste it, I tried adding all of these:Torani Cinnamon SyrupLemon JuiceCherry flavoringSaltTorani Salted Caramel Syrup - (the worst, btw).Nothing worked to offset the taste.There aren't any other Pepsi-brand options that are made for the smaller home soda-machines, unless you want to by a 3-gallon box of syrup for about $150 that is made for restaurants and way overpricedI'm almost tempted to buy it, but then what if it's the same nasty sucralose formula as this product? I'd be out $150 and have 3 gallons of syrup to dump.The bottle says ""Special Soda Stream only formula"" -- which means ""We cut corners on this to save a few bucks and cut down on the shipping weight.""This is a terrible excuse for the regular Pepsi formula. If you like Diet Pepsi, then this might work, but then you'd still have the sugar. If you don't have sensitive taste-buds, then maybe this would be okay for you.But if you don't like the nasty aftertaste of Sucralose (Splenda-brand-name), then stay away from this. There are others that might not be exactly Pepsi, but Pepsi-with-Splenda is worse than any other cola that doesn't use artificial sweeteners.So, lesson learned. I'll be checking the ingredients when I buy pre-made syrups.Don't get me wrong, I really like Pepsi with sugar and even with the high-fructose-corn-syrup. I don't like Diet Pepsi -- even though I have friends who say, ""You get used to it."" -- buy why? Why would I want to do that when the real stuff exists for the same price?Overall, only one-star because zero-stars are not possible."
Public Profile Name,13-Apr-24,5,"These are delicious. I think they taste better than bottled Diet Pepsi. They use a different sweetener from aspartame so if your friends won't shut up about how bad aspartame supposedly is for you because you drink diet soda non-stop, these will help you cull your exposure."
S. Moon,10-Feb-24,4,"So I hate diet sodas because of the after taste. I can't even drink coke zero. When I first had this, I've only had it for two day, I did not like it. To get over the after taste I had diet coke, which I haven't had in a long time, and knowing how bad the after taste is on diet sodas makes this tolerable. Doing the math the price I bought this at is less than 1/4 the cost of Pepsi in the stores, it makes less waste, and I don't need to go to the store just to buy soda when I want to watch a movie.I don't make it like the directions, I add a little less syrup, I think that negates some of the after taste. I also don't use a soda stream to make it. I use Fizzpod because I can put the flavor in before carbonating. I have a soda stream but the problem is when you add the syrup that takes away a ton of the fizz. If you put in the syrup before carbonating the carbonation is stronger. It also makes less of a mess. Fizzpod machines have the part that goes into the soda as the lid so it can be thoroughly cleaned, don't try this on a soda stream or you need to take the whole thing apart to wash it.Overall I think it is well worth it, it's cheaper, more convenient, at ton less waste, basically saving 4 two liter bottles and a one liter bottle. I'd give it 5 stars if it wasn't for the after taste. I'd say maybe it is the bottle of syrup I got but I also got some Starry Lemon Lime and it has the same after taste so I don't think when I get to my next bottle of Pepsi Syrup it will be any different.I'd say if you have a Soda Stream or competitor carbonation machine it is worth a shot but I wouldn't go out and buy a machine just for this. Most of what I drink is straight carbonated water, this is just a treat for me."
Cathy Johnson,8-Apr-24,5,I purchased a SodaStream at my church's garage sale and tried to use it. I definitely did NOT like the taste of the drink flavors that came with it. Then I went to my niece's house and they had the Pepsi mix. I tried it and it was delicious! So I ordered some of my own and now make my own soft drink. Will be ordering again when this supply runs out.
Jim Mellenberger,13-Mar-24,4,"I purchased an Ultima Cosa carbonating package a couple of months back, trying to cut my soda costs, and eliminate my Aspartame intake as much as possible. I initially bought SodaStream Diet Cola mix, which was pretty good, then tried this 4 pack of Diet Pepsi mix.4.5 stars, it has Diet Pepsi taste, maybe a little less carbonation than factory-made soda, but it works for me. I like the experience so far, so I expect I'll order more, maybe even subscribe after I get a baseline, which saves a few cents per bottle on orders.Good product!"
grush,18-Apr-24,4,"Tastes good, but very expensive for what you get."
Ed Tisoncik,9-Apr-24,4,"Very close to original, much better than Starry Zero. Pricing better than OME."
Amazon Customer,13-Mar-24,4,"They taste good but have a harder time staying carbonated compared to ones we bought at the grocery store. I have no clue why.If you mind your drinks being more ""flat"" than usual, then you'll be left wanting. I'm fine with it but my husband won't drink them."
Amanda Mattocks,11-Apr-24,5,I love making my diet Pepsi at home and helping to reduce plastic waste. I get the best deal here on Amazon too!
Steve,9-Apr-24,5,It's good I like it easy to make switched cuz grocery store no longer had four for $5 2 l
TechnoGeek,22-Mar-24,4,Slightly less flavor than you get in the companydirect sodas. I add a splash of cherry concentrateto give added zest.
Steven Bressler,27-Mar-24,4,Only the taste is off a little bit worth buying. Will but again.
Aloha 6,17-Mar-24,4,Actually tastes like a pepsi zero. 1000x better than the generic sodastream stuff that tastes like the worst generic 99¢ store cola you could possibly find.
Joe Momma,17-Feb-24,4,I bought the soda stream when I saw this available. It lists sugar as the main ingredient but it tastes a lot like artificial sweetener and a little flat regardless of the amount of bubbles. I tried the grape and lemon lime that came with it and they taste like the flavored water you purchase. I tried it with real grape juice and it's pretty good. Disappointed with the Pepsi flavor.
CRockstead,18-Apr-24,5,Great deal!
kdj,26-Feb-24,4,Others said it was just like diet Pepsi I think it had that Soda Srteam flavor not bad but it stands a lone. If you're like my wife and drink only Diet Pepsi it won't work. If you're open to a little twist on the flavor it's ok.
rael salas,5-Apr-24,5,"good taste, as long as u use cold water. definitively would buy it again."
Charles Tiffany,10-Apr-24,5,It’s just like 7up.
Texasowl,28-Mar-24,5,Taste almost as the factory made. Read the instructions on the side of the syrup bottle.
Erica ,23-Feb-24,5,"I don't have a Soda Stream, I have something similar from another company (sparkle) but they don't sell soda syrups. I purchased these, hoping it would taste like fountain diet Pepsi and it does! I much prefer the taste of fountain drinks to canned or bottled. These are simple to use and it's easy to measure the correct amount since it has a 'fill line' in the cap. It lasts a decent amount of time, calculating the cost of everything it comes out cheaper than purchasing bottled soda and tastes better too."
H.Woody,9-Apr-24,5,pricy
Amazon Customer,6-Apr-24,5,Product has a good cola taste.
Amazon Customer,28-Feb-24,4,"Without the artificial flavor. If you squeeze a little fresh lemon in it, it's soooo good.It would be nice to offer a variety pack with different flavors."
Sean,28-Feb-24,4,Taste more like RC cola than Pepsi but it’s good especially for the price and ability to make it the way O want to.
